,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,EXP_RV+,SWTR+,SWTR_Per650+,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
0,"Olson, Matt",621566,1448,1644,3092,54.1,-3.7,45.9,-30.8,-34.5,86.8,60.4,13.2,-9.1,51.3,16.8,18.0,-1.2,-1.0,1.8,15.1,12.4,71.5,64.5,13.2,51.3,40.9,99,72,97,77
1,"Schwarber, Kyle",656941,1152,1912,3064,54.9,-3.7,45.1,-24.4,-28.1,78.5,64.9,21.5,-17.4,47.5,19.4,16.8,2.6,2.2,-8.1,27.6,22.9,69.6,70.3,21.5,48.8,33.4,93,100,21,88
2,"Lowe, Nathaniel",663993,1333,1711,3044,55.7,-4.9,44.3,-26.2,-31.0,82.8,59.2,17.2,-12.0,47.2,16.2,15.7,0.4,0.4,-3.4,19.5,16.3,70.9,65.6,17.2,48.4,38.4,91,82,73,83
3,"Rutschman, Adley",668939,1192,1712,2904,53.3,-4.1,46.7,-26.8,-31.0,78.8,58.3,21.2,-12.8,45.4,14.5,16.3,-1.8,-1.6,1.4,13.1,11.4,68.3,68.0,21.2,46.8,32.1,79,96,25,74
4,"Suárez, Eugenio",553993,1293,1610,2903,57.6,-3.7,42.4,-26.0,-29.8,82.2,52.8,17.8,-12.5,40.3,10.5,11.1,-0.6,-0.5,4.7,5.8,5.1,71.3,64.0,17.8,46.2,39.9,72,66,63,79
5,"Soto, Juan",665742,1034,1859,2893,64.2,-2.3,35.8,-17.0,-19.3,82.9,68.4,17.1,-12.1,56.3,37.0,19.2,17.8,15.6,26.8,10.2,9.0,76.3,69.9,17.1,52.8,47.2,100,99,74,100
6,"Happ, Ian",664023,1269,1590,2859,54.0,-2.9,46.0,-25.8,-28.8,82.9,57.5,17.1,-12.4,45.1,16.3,14.4,1.9,1.7,-3.1,19.4,17.3,70.1,65.8,17.1,48.7,36.9,93,84,74,87
7,"Riley, Austin",663586,1377,1482,2859,52.4,-3.2,47.6,-29.6,-32.8,82.9,48.7,17.1,-9.5,39.2,6.4,11.0,-4.6,-4.1,-2.3,8.7,7.7,68.2,63.0,17.1,45.8,35.3,68,53,74,63
8,"Goldschmidt, Paul",502671,1252,1595,2847,53.4,-3.6,46.6,-27.3,-30.9,78.7,50.9,21.3,-12.8,38.1,7.2,11.9,-4.7,-4.2,24.6,-17.4,-15.5,67.6,65.3,21.3,44.0,32.1,52,79,23,62
9,"Nimmo, Brandon",607043,1204,1641,2845,61.2,-4.5,38.8,-21.4,-26.0,78.0,49.2,22.0,-14.0,35.2,9.2,6.5,2.7,2.4,4.7,4.5,4.0,70.9,63.5,22.0,41.5,39.2,27,58,17,89
10,"Kwan, Steven",680757,1166,1672,2838,60.0,-4.6,40.0,-22.4,-27.0,75.7,50.1,24.3,-13.9,36.2,9.1,9.9,-0.8,-0.7,0.3,8.8,7.9,69.3,64.4,24.3,40.1,35.8,16,71,4,78
11,"Torkelson, Spencer",679529,1290,1500,2790,56.8,-3.4,43.2,-27.1,-30.5,81.7,50.1,18.3,-11.5,38.6,8.2,10.7,-2.6,-2.3,3.0,5.2,4.7,70.2,62.6,18.3,44.2,38.5,54,48,56,71
12,"Semien, Marcus",543760,1319,1480,2799,61.0,-3.2,39.0,-22.1,-25.3,86.4,50.3,13.6,-7.4,42.9,17.7,11.3,6.4,5.8,30.4,-12.7,-11.5,74.5,61.4,13.6,47.8,47.5,87,33,96,94
13,"Bregman, Alex",608324,1080,1709,2789,59.4,-2.9,40.6,-19.6,-22.5,80.0,56.1,20.0,-12.2,43.9,21.5,12.9,8.6,7.8,-8.8,30.2,27.6,72.0,68.1,20.0,48.1,39.3,90,97,39,97
