XLOC,ZLOC,RV_00,RV_10,RV_20,RV_30,RV_01,RV_11,RV_21,RV_31,RV_02,RV_12,RV_22,RV_32,CS,CONTACT,xWOBACON,CRV,FOUL,SWING_00,TAKE_00,DELTA_00,SWING_01,TAKE_01,DELTA_01,SWING_02,TAKE_02,DELTA_02,SWING_10,TAKE_10,DELTA_10,SWING_11,TAKE_11,DELTA_11,SWING_12,TAKE_12,DELTA_12,SWING_20,TAKE_20,DELTA_20,SWING_21,TAKE_21,DELTA_21,SWING_22,TAKE_22,DELTA_22,SWING_30,TAKE_30,DELTA_30,SWING_31,TAKE_31,DELTA_31,SWING_32,TAKE_32,DELTA_32
-1.45,0.55,0.053,0,0,0,-0.069,0.048,0,0,0.064,0.021,0.074,0,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.65,-0.025,0,0,0,0,0,0,0,0.016,0.019,0.067,0,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.75,-0.009,0.069,0,0,0.008,0,0,0,0.022,0,0,0.21,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.85,0.013,0.075,0,0,0.015,0,0.154,0,0.017,0.034,-0.356,0,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.95,0.011,-0.027,0.242,0,0.026,0.03,0.127,0,0.068,-0.06,0.1,0,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,1.05,-0.012,-0.133,0,0,0.013,0.048,0.121,0,-0.018,-0.048,0.083,0,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,1.15,0.01,0,0,0,0.032,-0.019,0.02,0,-0.032,-0.098,-0.213,0,0.0,0,0,0,0.0417,-0.0385429,0.032,-0.07054289999999999,-0.0531267,0.024,-0.07712669999999999,-0.15,0.021,-0.17099999999999999,-0.036459500000000006,0.088,-0.1244595,-0.056251800000000005,0.048,-0.1042518,-0.171,0.038,-0.20900000000000002,-0.0645854,0.143,-0.20758539999999998,-0.0718773,0.064,-0.1358773,-0.209,0.085,-0.294,-0.12187890000000001,0.051,-0.1728789,-0.06875220000000001,0.168,-0.23675220000000002,-0.294,0.234,-0.528
-1.45,1.25,0.02,0.044,0,0.059,0.03,0.061,0,0,0.024,0.026,0.044,0,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,1.35,0.029,0.031,0,0,0.023,0.031,0,0.206,0.016,0.023,0.125,0.218,0.027,0,0,0,0,-0.037,0.030137,-0.067137,-0.051,0.021975,-0.072975,-0.15,0.016383,-0.166383,-0.035,0.08467899999999999,-0.119679,-0.054,0.045246,-0.099246,-0.171,0.032357,-0.203357,-0.062,0.13746499999999998,-0.19946499999999998,-0.069,0.060409000000000004,-0.129409,-0.209,0.077062,-0.286062,-0.117,0.04646399999999999,-0.163464,-0.066,0.161682,-0.227682,-0.294,0.219744,-0.513744
-1.45,1.45,0.055,0.086,0.143,0,0.022,0.047,0.132,0,-0.093,0.035,-0.05,0,0.0,0,0,0,0.0312,-0.03815439999999999,0.032,-0.07015439999999999,-0.05259119999999999,0.024,-0.0765912,-0.15,0.021,-0.17099999999999999,-0.036092,0.088,-0.124092,-0.05568479999999999,0.048,-0.1036848,-0.171,0.038,-0.20900000000000002,-0.06393439999999999,0.143,-0.20693439999999996,-0.0711528,0.064,-0.13515280000000002,-0.209,0.085,-0.294,-0.12065039999999999,0.051,-0.17165039999999998,-0.0680592,0.168,-0.23605920000000002,-0.294,0.234,-0.528
