NAME	ID	N_SWINGS	N_TAKES	N_P	GOOD_SWINGS	G%S	GS%	GS_RV	BAD_SWINGS	B%S	BS%	BS_RV	SRV	GOOD_TAKES	G%T	GT%	GT_RV	BAD_TAKES	B%T	BT%	BT_RV	TRV	EXP_RV	TOT_RV	SWTR	SWTR_Per650	Correct%	Selective%	OverAgression%	SEAGER	Total_Percentile	Rate_Percentile
Semien, Marcus	543760	1318	1605	2923	859	65.2	29.4	-35.1	459	34.8	15.7	-39.4	-74.5	1211	75.5	41.4	34.9	394	24.5	13.5	-22.0	12.9	-62.1	-61.6	0.6	0.5	70.8	72.5	31.4	41.1	92	91
Grossman, Robbie	543257	1081	1736	2817	756	69.9	26.8	-44.3	325	30.1	11.5	-26.4	-70.7	1267	73.0	45.0	29.9	469	27.0	16.6	-30.0	-0.1	-77.4	-70.9	6.6	5.9	71.8	79.6	38.3	41.3	100	98
Crawford, J.P.	641487	1228	1556	2784	623	50.7	22.4	-41.7	605	49.3	21.7	-50.3	-92.0	1199	77.1	43.1	20.8	357	22.9	12.8	-23.4	-2.5	-93.6	-94.6	-1.0	-0.9	65.4	66.5	36.4	30.0	85	89
Haniger, Mitch	571745	1293	1482	2775	866	67.0	31.2	-23.2	427	33.0	15.4	-34.9	-58.0	959	64.7	34.6	33.4	523	35.3	18.8	-26.1	7.4	-37.4	-50.7	-13.3	-12.2	65.8	69.2	37.7	31.5	17	39
Olson, Matt	621566	1301	1469	2770	726	55.8	26.2	-31.5	575	44.2	20.8	-49.3	-80.9	1075	73.2	38.8	37.5	394	26.8	14.2	-21.2	16.3	-55.3	-64.6	-9.2	-8.5	65.0	65.2	35.2	30.0	34	53
Goldschmidt, Paul	502671	1215	1536	2751	890	73.3	32.4	-19.8	325	26.7	11.8	-24.4	-44.2	933	60.7	33.9	32.0	603	39.3	21.9	-27.0	5.0	-23.9	-39.2	-15.3	-14.1	66.3	74.2	40.4	33.8	10	34
Santana, Carlos	467793	1173	1532	2705	708	60.4	26.2	-36.9	465	39.6	17.2	-35.5	-72.4	1164	76.0	43.0	32.9	368	24.0	13.6	-21.5	11.4	-56.9	-61.0	-4.2	-3.9	69.2	71.5	34.2	37.3	66	77
Lowe, Nathaniel	663993	1202	1489	2691	618	51.4	23.0	-35.9	584	48.6	21.7	-52.4	-88.2	1075	72.2	39.9	26.9	414	27.8	15.4	-26.3	0.5	-81.4	-87.7	-6.3	-5.9	62.9	64.8	40.1	24.7	51	68
Freeman, Freddie	518692	1372	1313	2685	877	63.9	32.7	-29.1	495	36.1	18.4	-36.7	-65.9	974	74.2	36.3	30.1	339	25.8	12.6	-17.6	12.5	-45.6	-53.4	-7.8	-7.4	68.9	66.3	27.9	38.4	40	58
Ramírez, José	608070	1148	1524	2672	758	66.0	28.4	-31.0	390	34.0	14.6	-33.4	-64.4	1036	68.0	38.8	34.4	488	32.0	18.3	-23.6	10.8	-38.4	-53.6	-15.2	-14.4	67.1	72.7	39.2	33.5	11	33
