,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
0,"Judge, Aaron",592450,1240,1665,2905,53.1,-3.9,46.9,-29.9,-33.9,81.9,57.9,18.1,-12.2,45.7,11.8,-1.3,13.1,11.5,69.6,67.4,18.1,49.3,35.1,77,83,49,83
1,"Hoskins, Rhys",656555,1213,1684,2897,51.8,-11.1,48.2,-29.2,-40.3,82.7,54.2,17.3,-13.0,41.2,1.0,-8.8,9.8,8.6,69.7,68.9,17.3,51.6,34.4,86,91,55,70
2,"Olson, Matt",621566,1431,1459,2890,51.3,-8.6,48.7,-31.0,-39.5,86.6,52.0,13.4,-7.9,44.1,4.6,-3.7,8.3,7.3,69.1,63.3,13.4,49.9,37.9,80,44,90,66
3,"Schwarber, Kyle",656941,1160,1710,2870,55.1,3.6,44.9,-32.9,-29.2,78.7,56.7,21.3,-14.4,42.3,13.0,-3.6,16.7,14.8,69.1,67.8,21.3,46.4,33.7,57,86,20,93
4,"Lindor, Francisco",596019,1350,1477,2827,50.7,1.7,49.3,-30.6,-28.9,79.8,47.5,20.2,-9.7,37.8,8.8,6.5,2.3,2.1,65.9,63.3,20.2,43.1,30.5,33,44,28,47
5,"Profar, Jurickson",595777,1209,1573,2782,62.1,7.9,37.9,-18.0,-10.1,77.6,50.9,22.4,-10.9,40.0,29.9,18.4,11.5,10.5,70.8,61.9,22.4,39.5,39.7,10,32,11,77
6,"Nimmo, Brandon",607043,1214,1564,2778,58.9,-9.0,41.1,-22.2,-31.2,81.8,49.8,18.2,-11.7,38.1,6.9,-11.0,17.9,16.4,71.8,64.1,18.2,45.9,40.7,54,53,47,96
7,"Semien, Marcus",543760,1310,1466,2776,57.2,0.1,42.8,-29.0,-28.9,84.6,47.5,15.4,-6.8,40.7,11.8,-0.6,12.4,11.3,71.6,62.3,15.4,46.9,41.8,62,36,75,82
8,"Soto, Juan",665742,976,1784,2760,66.6,9.0,33.4,-10.7,-1.8,77.7,66.3,22.3,-14.7,51.6,49.9,28.4,21.5,19.8,73.8,68.1,22.3,45.8,44.3,53,88,12,99
9,"Freeman, Freddie",518692,1357,1398,2755,55.9,3.5,44.1,-22.1,-18.6,85.2,49.9,14.8,-7.2,42.7,24.1,11.6,12.5,11.5,70.8,61.1,14.8,46.3,41.1,57,23,81,83
10,"Swanson, Dansby",621020,1359,1392,2751,57.2,-3.1,42.8,-25.2,-28.3,81.9,44.1,18.1,-8.7,35.4,7.1,-6.0,13.1,12.1,69.7,59.5,18.1,41.4,39.1,20,14,49,85
11,"Yelich, Christian",592885,1185,1560,2745,59.7,0.6,40.3,-19.2,-18.5,79.4,53.0,20.6,-10.8,42.2,23.6,8.2,15.5,14.3,70.9,63.7,20.6,43.1,39.1,33,48,24,92
12,"Ramírez, José",608070,1264,1473,2737,54.8,27.6,45.2,-33.2,-5.7,77.2,48.2,22.8,-8.3,39.9,34.2,37.1,-2.9,-2.6,66.9,62.1,22.8,39.3,32.0,9,34,8,26
13,"Abreu, José",547989,1291,1436,2727,43.3,-10.1,56.7,-31.6,-41.7,83.6,45.0,16.4,-9.1,35.9,-5.8,-7.1,1.2,1.2,64.5,68.2,16.4,51.9,26.9,89,89,67,43
14,"Turner, Trea",607208,1393,1327,2720,51.0,0.0,49.0,-34.9,-34.8,82.5,41.2,17.5,-8.1,33.2,-1.7,-1.1,-0.5,-0.5,66.4,60.6,17.5,43.1,33.6,33,19,53,34
15,"Goldschmidt, Paul",502671,1127,1574,2701,48.5,-9.9,51.5,-28.4,-38.3,81.7,50.1,18.3,-11.3,38.8,0.5,-8.7,9.1,8.6,67.9,70.2,18.3,51.9,30.2,89,96,46,70
16,"Cronenworth, Jake",630105,1113,1551,2664,53.6,-5.4,46.4,-37.7,-43.1,77.8,44.5,22.2,-13.2,31.3,-11.8,-23.9,12.1,11.5,67.7,66.9,22.2,44.7,31.5,43,81,13,83
17,"Kwan, Steven",680757,997,1637,2634,59.4,-2.0,40.6,-21.4,-23.4,76.1,46.7,23.9,-13.4,33.3,9.9,-0.8,10.8,10.4,69.7,67.8,23.9,43.8,35.4,38,86,4,77
18,"Riley, Austin",663586,1361,1280,2641,53.7,9.2,46.3,-25.5,-16.4,84.1,44.9,15.9,-6.4,38.5,22.1,14.3,7.8,7.5,68.5,59.6,15.9,43.7,37.9,37,15,70,67
19,"Chapman, Matt",656305,1100,1537,2637,61.8,4.1,38.2,-15.8,-11.8,79.8,51.6,20.2,-11.9,39.7,27.9,12.0,15.9,15.3,72.3,64.3,20.2,44.2,41.6,40,56,28,94
20,"Santander, Anthony",623993,1249,1366,2615,47.6,-4.2,52.4,-30.2,-34.4,81.7,44.1,18.3,-10.0,34.1,-0.3,-1.4,1.1,1.1,65.4,65.2,18.3,46.9,29.3,62,66,46,42
21,"Suárez, Eugenio",553993,1095,1522,2617,51.6,-10.3,48.4,-21.9,-32.2,83.4,50.3,16.6,-11.6,38.8,6.6,-5.0,11.6,11.3,70.1,69.2,16.6,52.7,35.0,92,92,64,82
22,"Guerrero Jr., Vladimir",665489,1291,1305,2596,49.7,0.6,50.3,-29.5,-28.9,83.1,43.5,16.9,-8.2,35.3,6.4,7.0,-0.6,-0.6,66.5,62.8,16.9,45.9,32.8,54,41,62,34
23,"Happ, Ian",664023,1247,1302,2549,58.1,15.8,41.9,-22.0,-6.2,80.9,44.5,19.1,-7.9,36.6,30.5,20.1,10.4,10.4,69.8,59.2,19.1,40.1,39.0,13,13,38,77
24,"McMahon, Ryan",641857,1156,1403,2559,53.7,-2.9,46.3,-27.5,-30.4,79.5,43.6,20.5,-11.1,32.5,2.1,-6.7,8.8,8.8,67.8,64.2,20.5,43.7,33.2,37,54,25,72
25,"Ohtani, Shohei",660271,1254,1292,2546,57.0,11.3,43.0,-23.6,-12.3,83.0,44.2,17.0,-8.2,36.0,23.8,16.7,7.1,7.1,70.2,60.0,17.0,43.1,40.1,33,16,60,65
26,"Walker, Christian",572233,1137,1406,2543,62.6,21.7,37.4,-17.9,3.8,77.8,48.0,22.2,-8.8,39.2,43.0,27.2,15.8,15.8,71.0,60.6,22.2,38.4,40.4,7,19,13,95
27,"García, Adolis",666969,1357,1180,2537,45.1,-6.4,54.9,-39.6,-45.9,83.9,36.5,16.1,-7.0,29.5,-16.5,-7.3,-9.2,-9.2,63.1,61.8,16.1,45.7,29.0,52,30,69,8
28,"Arozarena, Randy",668227,1163,1362,2525,45.3,-7.6,54.7,-31.0,-38.7,82.5,42.1,17.5,-9.9,32.2,-6.4,-5.3,-1.1,-1.1,65.3,68.1,17.5,50.5,27.8,81,88,53,31
29,"Lowe, Nathaniel",663993,1318,1206,2524,53.9,-0.6,46.1,-30.4,-31.1,82.5,39.5,17.5,-7.4,32.1,1.0,-4.1,5.1,5.1,67.6,58.3,17.5,40.8,36.4,16,9,53,58
30,"Bichette, Bo",666182,1411,1111,2522,47.6,3.8,52.4,-38.0,-34.2,86.0,35.9,14.0,-6.2,29.7,-4.5,-2.5,-2.1,-2.1,64.5,58.7,14.0,44.7,33.6,43,10,86,27
31,"Bregman, Alex",608324,1015,1506,2521,57.0,-2.9,43.0,-19.3,-22.2,85.7,56.2,14.3,-8.9,47.2,25.0,4.5,20.5,20.7,74.1,69.0,14.3,54.7,42.7,95,92,84,99
32,"Alonso, Pete",624413,1250,1257,2507,43.0,-7.5,57.0,-33.6,-41.1,86.2,42.5,13.8,-6.9,35.6,-5.5,-2.8,-2.7,-2.7,64.7,66.9,13.8,53.1,29.2,92,81,87,25
33,"Pham, Tommy",502054,1050,1453,2503,61.4,11.5,38.6,-19.8,-8.3,74.8,41.7,25.2,-12.3,29.4,21.1,10.0,11.1,11.3,69.2,62.8,25.2,37.6,36.2,4,41,2,82
