,NAME,ID,N_SWINGS,N_TAKES,N_P,GOOD_SWINGS,G%S,GS%,GS_RV,BAD_SWINGS,B%S,BS%,BS_RV,SRV,GOOD_TAKES,G%T,GT%,GT_RV,BAD_TAKES,B%T,BT%,BT_RV,TRV,EXP_RV,TOT_RV,SWTR,SWTR_Per650,Total_Percentile,Rate_Percentile
0,"Olson, Matt",621566,1448,1644,3092,909,62.8,29.4,-36.5,539,37.2,17.4,-45.4,-81.9,1272,77.4,41.1,43.2,372,22.6,12.0,-21.2,22.0,-58.5,-59.9,-1.4,-1.2,72,84
1,"Schwarber, Kyle",656941,1152,1912,3064,776,67.4,25.3,-23.8,376,32.6,12.3,-30.9,-54.7,1212,63.4,39.6,36.7,700,36.6,22.8,-43.4,-6.7,-44.7,-61.4,-16.8,-13.9,5,40
2,"Lowe, Nathaniel",663993,1333,1711,3044,684,51.3,22.5,-34.8,649,48.7,21.3,-57.8,-92.6,1247,72.9,41.0,36.0,464,27.1,15.2,-26.6,9.4,-73.8,-83.2,-9.5,-7.9,24,66
3,"Rutschman, Adley",668939,1192,1712,2904,757,63.5,26.1,-28.1,435,36.5,15.0,-37.1,-65.3,1075,62.8,37.0,34.5,637,37.2,21.9,-33.1,1.5,-47.5,-63.8,-16.3,-14.3,6,38
4,"Suárez, Eugenio",553993,1293,1610,2903,782,60.5,26.9,-41.3,511,39.5,17.6,-41.2,-82.5,1196,74.3,41.2,36.6,414,25.7,14.3,-24.2,12.3,-70.1,-70.2,-0.1,-0.1,86,86
5,"Soto, Juan",665742,1034,1859,2893,847,81.9,29.3,-13.2,187,18.1,6.5,-12.5,-25.7,1121,60.3,38.7,41.3,738,39.7,25.5,-43.5,-2.2,-15.6,-27.9,-12.3,-10.8,14,51
6,"Happ, Ian",664023,1269,1590,2859,748,58.9,26.2,-33.1,521,41.1,18.2,-42.6,-75.7,1180,74.2,41.3,32.8,410,25.8,14.3,-27.4,5.3,-70.9,-70.3,0.6,0.5,93,87
7,"Riley, Austin",663586,1377,1482,2859,914,66.4,32.0,-34.9,463,33.6,16.2,-39.3,-74.3,1027,69.3,35.9,38.5,455,30.7,15.9,-21.2,17.3,-54.3,-56.9,-2.6,-2.3,59,81
8,"Goldschmidt, Paul",502671,1252,1595,2847,782,62.5,27.5,-34.3,470,37.5,16.5,-33.9,-68.3,1097,68.8,38.5,31.8,498,31.2,17.5,-26.6,5.2,-48.0,-63.1,-15.0,-13.4,8,43
9,"Nimmo, Brandon",607043,1204,1641,2845,738,61.3,25.9,-34.2,466,38.7,16.4,-42.7,-76.9,1116,68.0,39.2,29.6,525,32.0,18.5,-31.9,-2.3,-77.8,-79.2,-1.5,-1.3,71,83
10,"Kwan, Steven",680757,1166,1672,2838,749,64.2,26.4,-41.2,417,35.8,14.7,-32.0,-73.2,1164,69.6,41.0,25.8,508,30.4,17.9,-28.1,-2.3,-71.6,-75.5,-3.9,-3.5,49,78
11,"Torkelson, Spencer",679529,1290,1500,2790,867,67.2,31.1,-35.5,423,32.8,15.2,-36.0,-71.6,1048,69.9,37.6,35.0,452,30.1,16.2,-23.6,11.4,-52.2,-60.2,-7.9,-7.2,28,68
