"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
3092,621566,"Olson, Matt",3092,100,0.283,0.321,0.302,0.605,0.413,0.392,0.265,172,607,93.7,16.1,2229,89.6,89.89,411,1448,1644,0.30000000000001137,6.47,116,146,128,151,304,330,304,"-63.6","63.6"
3068,656941,"Schwarber, Kyle",3068,100,0.197,0.277,0.209,0.474,0.351,0.364,0.22,115,584,92.2,18.7,2250,88.8,88.9,364,1156,1912,0.10000000000000853,6.36,117,146,122,152,296,326,299,"-22","22"
3044,663993,"Lowe, Nathaniel",3044,100,0.262,0.152,0.329,0.414,0.34,0.339,0.263,163,623,89.8,7.3,2264,89.9,89.94,275,1333,1711,0,6.4,115,146,126,150,296,329,306,"-10.3","10.3"
2904,668939,"Rutschman, Adley",2904,100,0.277,0.158,0.303,0.435,0.352,0.373,0.292,163,588,88.4,12.6,2217,89.2,89.29,186,1192,1712,0.09999999999999432,6.46,114,147,123,150,297,326,297,"-19.8","19.8"
2903,553993,"Suárez, Eugenio",2903,100,0.232,0.159,0.314,0.391,0.313,0.323,0.223,139,598,90.3,18.9,2254,89.1,89.21,424,1293,1610,0.10000000000000853,6.41,108,151,121,146,300,324,293,"-2.2","2.2"
2897,665742,"Soto, Juan",2897,100,0.275,0.245,0.296,0.519,0.395,0.408,0.284,156,568,92.7,6.3,2222,88.8,88.79,212,1038,1859,0,6.43,116,146,123,151,295,327,306,"-44.8","44.8"
2862,664023,"Happ, Ian",2862,100,0.248,0.183,0.299,0.431,0.345,0.35,0.254,144,580,89.7,13,2204,89.4,88.28,321,1272,1589,-1.1000000000000085,6.39,113,146,120,149,294,321,299,"-16.3","16.3"
2861,663586,"Riley, Austin",2861,100,0.281,0.234,0.324,0.516,0.363,0.365,0.273,179,636,92.3,13.5,2257,89.9,89.97,383,1379,1482,0.09999999999999432,6.49,108,150,122,146,310,329,299,"-13.6","13.6"
2847,502671,"Goldschmidt, Paul",2847,100,0.268,0.179,0.327,0.447,0.35,0.367,0.271,159,593,91.3,12.8,2289,89.2,88.12,344,1252,1595,-1.1000000000000085,6.45,108,151,122,147,309,327,298,"-11","11"
2847,607043,"Nimmo, Brandon",2847,100,0.274,0.193,0.324,0.467,0.359,0.352,0.261,162,591,91.6,12,2223,89.7,89.71,265,1206,1641,0,6.41,117,147,109,151,290,322,303,"-19.6","19.6"
2843,680757,"Kwan, Steven",2843,100,0.268,0.102,0.294,0.37,0.313,0.317,0.282,171,638,85.3,10.3,2246,89.7,89.97,130,1171,1672,0.29999999999999716,6.46,113,146,103,149,277,311,294,"-0.1","0.1"
2814,679529,"Torkelson, Spencer",2814,100,0.233,0.213,0.269,0.446,0.325,0.349,0.251,141,606,91.8,17.2,2257,88.9,89.11,321,1301,1513,0.19999999999998863,6.46,108,151,121,146,302,327,293,"1.8","-1.8"
2799,543760,"Semien, Marcus",2799,100,0.276,0.201,0.291,0.478,0.354,0.333,0.262,185,670,88.4,19,2254,89,89.09,238,1319,1480,0.09999999999999432,6.42,109,151,121,145,303,328,294,"-33.1","33.1"
2789,608324,"Bregman, Alex",2789,100,0.262,0.178,0.27,0.441,0.351,0.351,0.266,163,622,88.6,17.6,2248,89.4,89.28,152,1080,1709,-0.10000000000000853,6.45,108,151,121,146,296,325,292,"-32.2","32.2"
2782,660670,"Acuña Jr., Ronald",2782,100,0.337,0.258,0.338,0.596,0.428,0.46,0.357,217,643,94.7,7.4,2238,89.6,89.89,241,1286,1496,0.30000000000001137,6.48,110,152,122,147,312,330,300,"-66.6","66.6"
2764,623993,"Santander, Anthony",2764,100,0.257,0.215,0.299,0.472,0.34,0.319,0.237,152,591,90.6,20.2,2222,89.3,89.41,318,1355,1408,0.10000000000000853,6.47,113,147,125,150,301,328,296,"-21.5","21.5"
